arrival_time_us,cpu_burst_duration_us,io_burst_duration_us,nice,weight,scheduling_class,cpu_request
1190537627,47109273,0,19,15,0,0.005638
1190537627,47492729,0,19,15,0,0.005722
1190537627,47124000,0,19,15,0,0.007217
1190537627,46607229,0,19,15,0,0.006866
1190537627,46448644,0,19,15,0,0.009720
1190537627,46465609,0,19,15,0,0.002026
1190537627,47997998,0,19,15,0,0.004051
1190537627,55943209,0,19,15,0,0.001497
1190537627,47285869,0,19,15,0,0.005196
1190537627,45924817,0,19,15,0,0.027649
1190537627,47111412,0,19,15,0,0.006958
1190537627,46565887,0,19,15,0,0.019287
1190537627,10893741,0,19,15,0,0.011002
1190537627,63505318,0,19,15,0,0.012955
1190537628,46454730,0,19,15,0,0.008545
1190537628,46524202,0,19,15,0,0.034363
1190537628,47494601,0,19,15,0,0.002201
1190537628,63751020,0,19,15,0,0.002201
1190537628,46966058,0,19,15,0,0.004845
1190537628,20715733,0,19,15,0,0.048767
1190537628,46973347,0,19,15,0,0.028717
1190537628,46494559,0,19,15,0,0.007751
1190537628,47749318,0,19,15,0,0.004318
1190537628,47455500,0,19,15,0,0.005638
1190537628,46482274,0,19,15,0,0.006248
1190537628,47196289,0,19,15,0,0.003788
1190537628,48090181,0,19,15,0,0.002026
1190537628,38469341,0,19,15,0,0.046692
1190537628,60026883,0,19,15,0,0.070801
1190604956,80428558,0,19,15,0,0.000352
1192835686,11522424,0,9,137,1,0.019623
1196901027,1340238,0,19,15,0,0.008194
1197069633,8345431,0,19,15,0,0.003696
1198531275,880411,0,19,15,0,0.008102
1198838668,1406097,0,9,137,1,0.004669
1199911124,1479371,0,19,15,0,0.005104
1200012639,1940899,0,19,15,0,0.003696
1200012640,2459725,0,19,15,0,0.019196
1200139633,435063,0,19,15,0,0.002995
1200725329,21731698,0,19,15,0,0.004402
1202413956,3840008,0,19,15,0,0.011185
1205972821,31010022,0,19,15,0,0.032043
1208520893,15819373,0,19,15,0,0.003696
1208531263,28505696,0,9,137,1,0.004578
1208531263,28609058,0,9,137,1,0.004578
1208531263,28615442,0,9,137,1,0.004578
1208531263,28570020,0,9,137,1,0.004578
1208556354,28709664,0,9,137,1,0.004578
1208569682,28473357,0,19,15,0,0.003788
1208569682,28470566,0,19,15,0,0.008102
1208569682,28521574,0,19,15,0,0.004051
1208569682,28504390,0,19,15,0,0.007393
1208569683,28538274,0,19,15,0,0.032593
1208569683,29204030,0,19,15,0,0.006958
1208569683,28508592,0,19,15,0,0.031250
1208569683,28526661,0,19,15,0,0.010208
1208569683,28507488,0,19,15,0,0.011276
1208569683,13991987,0,19,15,0,0.000880
1208569683,29437058,0,19,15,0,0.000880
1208569683,28551231,0,19,15,0,0.022217
1208569683,28495218,0,19,15,0,0.002377
1208569683,28583620,0,19,15,0,0.004578
1208569683,29140973,0,19,15,0,0.002907
1208569683,28570669,0,19,15,0,0.011703
1208569683,28534294,0,19,15,0,0.003433
1208569683,28549258,0,19,15,0,0.008102
1208569683,28471894,0,19,15,0,0.007843
1208569683,28535663,0,19,15,0,0.003521
1208569683,29128553,0,19,15,0,0.007843
1208569683,29350475,0,19,15,0,0.006073
1208569683,30133916,0,19,15,0,0.001453
1208569683,28603871,0,19,15,0,0.002026
1208569684,28473356,0,19,15,0,0.029572
1208569684,29834949,0,19,15,0,0.001673
1208569684,14102277,0,19,15,0,0.007042
1208569684,28471892,0,19,15,0,0.068604
1208569684,28520545,0,19,15,0,0.006607
1208569684,28510670,0,19,15,0,0.004227
1208569684,29150294,0,19,15,0,0.007393
1208569684,28550619,0,19,15,0,0.002640
1208569684,28511304,0,19,15,0,0.003433
1208569684,21645369,0,19,15,0,0.016205
1208569684,28483338,0,19,15,0,0.002026
1208569684,28507487,0,19,15,0,0.009155
1208569684,28468657,0,19,15,0,0.008194
1208569685,28483338,0,19,15,0,0.006248
1208569685,28494103,0,19,15,0,0.008362
1208569685,28543468,0,19,15,0,0.006340
1208569685,14101458,0,19,15,0,0.006783
1208569685,28467306,0,19,15,0,0.003433
1208569685,28505769,0,19,15,0,0.016205
1208569685,28652579,0,19,15,0,0.006165
1208569685,29122646,0,19,15,0,0.011002
1208569685,28899488,0,19,15,0,0.004135
1208569686,28871900,0,19,15,0,0.006073
1208569686,28494433,0,19,15,0,0.000705
